PuzzleId,FEN,Moves,Rating,Themes
5TEz6,2Q2b1k/7p/p3B1pn/2p1P3/2Pq4/7P/PP6/7K b - - 3 31,d4e5 c8f8 h6g8 f8g8,750,endgame fork hangingPiece mate mateIn2 short
eUnQy,4kr2/1Q5p/p3p1p1/1p3q2/1Pp5/P7/2P2PPP/1R4K1 w - - 1 30,b1c1 f5f2 g1h1 f2f1 c1f1 f8f1,751,backRankMate endgame long mate mateIn3 sacrifice
0EFWi,r5k1/1pp2ppp/p1n5/3p4/3P2Qb/2P5/PPB2qPP/R1B2NK1 w - - 0 19,g1h1 f2f1,752,hangingPiece kingsideAttack master mate mateIn1 middlegame oneMove
xugvT,6k1/p3qpp1/2p2n2/2p4p/2N2Pb1/2BP2Q1/PPP1r1PP/4R2K w - - 0 24,c3f6 e2e1 g3e1 e7e1,753,backRankMate mate mateIn2 middlegame short
r09A0,r4rk1/pp6/2p3Q1/3pP1b1/3P2Pq/5R1P/PP4K1/5R2 b - - 0 32,g8h8 f3f8 a8f8 f1f8,754,mate mateIn2 middlegame short
h2dZa,r1bq3k/ppp2r2/1n3pQ1/3Pp3/2P4R/2N5/PP3PPP/R5K1 b - - 4 20,f7h7 g6h7,766,kingsideAttack mate mateIn1 middlegame oneMove
phny9,5bk1/1Q3p1p/5K2/P3p3/5p2/5P2/r2r4/8 b - - 2 50,a2a5 b7f7 g8h8 f7f8,774,deflection endgame mate mateIn2 short
R7OrD,r4rk1/p2q1ppp/2n5/2p3N1/2PpQ3/8/PP3PPP/4RRK1 b - - 0 18,a8e8 e4h7,775,kingsideAttack mate mateIn1 middlegame oneMove
j472i,8/5K1k/6r1/8/8/8/8/R7 b - - 38 77,g6g8 a1h1,781,endgame mate mateIn1 oneMove rookEndgame
C1hsY,6k1/1p3pp1/r5bp/8/3B1n2/1BP2P2/PP3K2/3R4 w - - 7 34,d1e1 f4d3 f2f1 d3e1,785,crushing endgame fork short
UKWSP,r2q1rk1/ppp2pp1/n1b1pb1p/6N1/2PP4/6P1/PBQNPPBP/R3R1K1 b - - 0 14,c6g2 c2h7,785,mate mateIn1 middlegame oneMove
